name,school,place,category
 Charla Adkison , Kinston High School ," Kinston , Alabama ", 1985 Award | 7-12 Science 
 Valerie Mills , Ypsilanti High School ," Ypsilanti , Michigan ", 1988 Award | 7-12 Mathematics 
 Erik A. Mollenhauer , West Deptford High School ," Westville , New Jersey ", 1988 Award | 7-12 Science 
 Robert Morse , St. Albans School ," Washington , District of Columbia ", 1988 Award | 7-12 Science 
 Jo Ann Mosier , Fairdale High School ," Louisville , Kentucky ", 1988 Award | 7-12 Mathematics 
 Adele Mouakad , Saint John&apos;s School ," Santurce , Puerto Rico ", 1988 Award | 7-12 Science 
 Anna Sue Neal , Wichita State University ," Wichita , Kansas ", 1988 Award | 7-12 Mathematics 
 Jane Nelson , University High School ," Orlando , Florida ", 1988 Award | 7-12 Science 
 Laura Jean Niland , Douglas MacArthur High School ," San Antonio , Texas ", 1988 Award | 7-12 Mathematics 
 David N. Pehrson , Skyline High School ," Salt Lake City , Utah ", 1988 Award | 7-12 Mathematics 
 Diana Perkins , Moapa Valley Jr./Sr. High Sch. ," Overton , Nevada ", 1988 Award | 7-12 Mathematics 
 Barbara Pond , Parker Junior High School ," Parker , Colorado ", 1988 Award | 7-12 Mathematics 
 Elizabeth Rainey , Shelburne Middle School ," Shelburne , Vermont ", 1988 Award | 7-12 Mathematics 
 Larry Read , Clark Junior High School ," Anchorage , Alaska ", 1988 Award | 7-12 Science 
 Patricia Reisdorf , Foxcroft School ," Middleburg , Virginia ", 1988 Award | 7-12 Mathematics 
 Kathryn Roberts , Lakeside High School ," Hot Springs , Arkansas ", 1988 Award | 7-12 Science 
 William Romond , Colchester High School ," Colchester , Vermont ", 1988 Award | 7-12 Science 
 Patricia Rourke , St. Agnes Episcopal School ," Arlington , Virginia ", 1988 Award | 7-12 Science 
 Sandy Sapatka , Mannheim High School ," APO , New York ", 1988 Award | 7-12 Science 
 James Saunders , Upper St. Clair High School ," Upper St. Clair , Pennsylvania ", 1988 Award | 7-12 Mathematics 
 Lawana Scoville , Laurel County Junior High Sch. ," London , Kentucky ", 1988 Award | 7-12 Science 
 Lynn Sedgwich , Woodinville High School ," Woodinville , Washington ", 1988 Award | 7-12 Mathematics 
 Robert Seitz , John Adams High School ," Cleveland , Ohio ", 1988 Award | 7-12 Mathematics 
 Richard Simon , Northwest High School ," Omaha , Nebraska ", 1988 Award | 7-12 Mathematics 
 LaRon Smith , Office of Senator Hartfield ," Washington , District of Columbia ", 1988 Award | 7-12 Mathematics 
 Floramma Stanislaus , Samoana High School ," Pago Pago , American Samoa ", 1988 Award | 7-12 Mathematics 
 Allan Stawicki , Samuel Morse Middle School ," Milwaukee , Wisconsin ", 1988 Award | 7-12 Science 
 Ralph Dennis Stewart , Heritage High School ," Conyers , Georgia ", 1988 Award | 7-12 Mathematics 
 Richard Swanson , West Fargo High School ," West Fargo , North Dakota ", 1988 Award | 7-12 Science 
 George Taliadouros , Minuteman Reg. Voc. Tech. Sch. ," Lexington , Massachusetts ", 1988 Award | 7-12 Science 
 Robert Waddell , Belle Fourche High School ," Belle Fourche , South Dakota ", 1988 Award | 7-12 Science 
 Joann Walker , , , 1988 Award | 7-12 Mathematics 
 Joseph Wesney , Greenwich High School ," Greenwich , Connecticut ", 1988 Award | 7-12 Science 
 Judith White , McCarthy Middle School ," Chelmsford , Massachusetts ", 1988 Award | 7-12 Mathematics 
 Wilton Wong , Jefferson High School ," Daly City , California ", 1988 Award | 7-12 Science 
,,,
 Sheri Adams , Truman High School ," Independence , Missouri ", 1986 Award | 7-12 Mathematics 
 Valeria Alston , Vance Senior High School ," Henderson , North Carolina ", 1986 Award | 7-12 Science 
 Byllie Andrews , Incline High School ," Incline Village , Nevada ", 1986 Award | 7-12 Mathematics 
" Edward Barlow, Jr. ", Central Preston High School ," Kingwood , West Virginia ", 1986 Award | 7-12 Mathematics 
 Susan Jean Anderson Barnes , Biloxi High School ," Biloxi , Mississippi ", 1986 Award | 7-12 Mathematics 
 Nancy Bell , Pelham High School ," Pelham , Alabama ", 1986 Award | 7-12 Science 
 Jon Black , APS Family School ," Albuquerque , New Mexico ", 1986 Award | 7-12 Science 
 Laurie Boswell , Profile School ," Bethlehem , New Hampshire ", 1986 Award | 7-12 Mathematics 
 Nancy Bow Bane , Spartanburg High School ," Spartanburg , South Carolina ", 1986 Award | 7-12 Science 
 Janice Watson Brown , Richland Northeast High School ," Columbia , South Carolina ", 1986 Award | 7-12 Mathematics 
 Johanna Brown , Swartz Creek Middle School ," Swartz Creek , Michigan ", 1986 Award | 7-12 Mathematics 
 Blanche S. Brownley , Friendship Educational Center ," Washington , District of Columbia ", 1986 Award | 7-12 Mathematics 
 Rose F. Buschman , Garden City High School ," Garden City , Kansas ", 1986 Award | 7-12 Mathematics 
 Margaret Butler , Bartlesville Mid-High School ," Bartlesville , Oklahoma ", 1986 Award | 7-12 Mathematics 
 Mary Christopher , Southside High School ," San Antonio , Texas ", 1986 Award | 7-12 Science 
 Carol Collins , Hamilton County Educational Service Center ," Cincinnati , Ohio ", 1986 Award | 7-12 Science 
" Louis P. D'Angelo, Jr. ", Archmere Academy ," Claymont , Delaware ", 1986 Award | 7-12 Mathematics 
 Bernice Duckrow , St. John&apos;s School ," Tumon , Guam ", 1986 Award | 7-12 Mathematics 
 Carl Duzen , Lower Merion High School ," Ardmore , Pennsylvania ", 1986 Award | 7-12 Science 
 Peggy Egger , John Foster Dulles High School ," Sugar Land , Texas ", 1986 Award | 7-12 Mathematics 
 Arthur Eisenkraft , Fox Lane High School ," Bedford , New York ", 1986 Award | 7-12 Science 
 Glen Ellis , Valparaiso High School ," Valparaiso , Indiana ", 1986 Award | 7-12 Mathematics 
 Linda Foreman , Teachers Development Grou ," West Linn , Oregon ", 1986 Award | 7-12 Mathematics 
 Alice Jo Fresquez , North Little Rock Northeast ," North Little Rock , Arkansas ", 1986 Award | 7-12 Mathematics 
 Lois Fruen , Breck School ," Minneapolis , Minnesota ", 1986 Award | 7-12 Science 
 Chris Gentry , Boise High School ," Boise , Idaho ", 1986 Award | 7-12 Science 
 Maria M. Gerrity , New Duty Station ," Vicenza , ", 1986 Award | 7-12 Mathematics 
 Allen G. Gerry , Oxford Hills High School ," South Paris , Maine ", 1986 Award | 7-12 Mathematics 
 John Goebel , NC School of Science &amp; Math ," Durham , North Carolina ", 1986 Award | 7-12 Mathematics 
 Jennifer Harris , ," Ukiah , California ", 1986 Award | 7-12 Science 
 Betty Hart , Aiea High School ," Aiea , Hawaii ", 1986 Award | 7-12 Science 
 Edward Hendry , Pelham High School ," Pelham , New Hampshire ", 1986 Award | 7-12 Science 
 Lowell Herr , The Catlin Gabel School ," Portland , Oregon ", 1986 Award | 7-12 Science 
 Sharon Houp , Ramstein Junior High School ," APO New York , ", 1986 Award | 7-12 Mathematics 
 Martha Howell , Central High School ," Tuscaloosa , Alabama ", 1986 Award | 7-12 Mathematics 
 Ross Iverson , Miller Junior High School ," Marshalltown , Iowa ", 1986 Award | 7-12 Science 
 James Jackson , Heidelberg Middle School ," APO New York , ", 1986 Award | 7-12 Science 
 Catherine Jatkowski , Schenley High School Teacher ," Pittsburgh , Pennsylvania ", 1986 Award | 7-12 Mathematics 
 LaMont Jensen , Clearfield High ," Clearfield , Utah ", 1986 Award | 7-12 Science 
 Shirley Johnson , North Junior High School ," Great Falls , Montana ", 1986 Award | 7-12 Mathematics 
 Timothy Kanold , Community High School ," West Chicago , Illinois ", 1986 Award | 7-12 Mathematics 
" Edward Keller, III ", South Junior High School ," Morgantown , West Virginia ", 1986 Award | 7-12 Science 
 Mary Key , St. Albans School ," Washington , District of Columbia ", 1986 Award | 7-12 Science 
 Lorraine H. Kilpatrick , Providence Middle School ," Richmond , Virginia ", 1986 Award | 7-12 Mathematics 
 JoAnn Kothe , Hamlin High School ," Hayti , South Dakota ", 1986 Award | 7-12 Mathematics 
 Craig Kuchel , Florence-Carlton Dist. 15-6 ," Florence , Montana ", 1986 Award | 7-12 Science 
 Beverly Lang , Newnan High School ," Newnan , Georgia ", 1986 Award | 7-12 Science 
 Charles Lang , Omaha Westside High ," Omaha , Nebraska ", 1986 Award | 7-12 Science 
 Robert Lawler , Shady Hill School ," Cambridge , Massachusetts ", 1986 Award | 7-12 Mathematics 
 Bernice L. Lenz , Magee Middle School ," Tucson , Arizona ", 1986 Award | 7-12 Mathematics 
" Richard Lord, Jr. ", Presque Isle High School ," Presque Isle , Maine ", 1986 Award | 7-12 Science 
 Edward Malin , John Dickinson High School ," Wilmington , Delaware ", 1986 Award | 7-12 Science 
 Lee R. Marek , Univ. of Illinois Chicago ," Chicago , Illinois ", 1986 Award | 7-12 Science 
 Stephen Maresca , Kamehameha Secondary School ," Honolulu , Hawaii ", 1986 Award | 7-12 Mathematics 
 William Marking , Raleigh Eqypt High School ," Memphis , Tennessee ", 1986 Award | 7-12 Science 
 Guy Mauldin , Science Hill High School ," Johnson City , Tennessee ", 1986 Award | 7-12 Mathematics 
 David McCormack , Minot High School Magic City ," Minot , North Dakota ", 1986 Award | 7-12 Mathematics 
 Gordon Mendenhall , Lawrence Central High School ," Indianapolis , Indiana ", 1986 Award | 7-12 Science 
 Charles Miller , Olympus High School ," Salt Lake City , Utah ", 1986 Award | 7-12 Mathematics 
 Mary Moler , Kelly Walsh High School ," Casper , Wyoming ", 1986 Award | 7-12 Mathematics 
 Bonnie Moody , Ridgeroad Junior High School ," North Little Rock , Arkansas ", 1986 Award | 7-12 Science 
 James Moore , Danville High School ," Danville , Kentucky ", 1986 Award | 7-12 Mathematics 
 Sue Nothstine , South Nodaway R-IV Schools ," Barnard , Missouri ", 1986 Award | 7-12 Science 
 Lawrence O'Keefe , Edmunds Middle School ," Burlington , Vermont ", 1986 Award | 7-12 Science 
 Christopher Olsen , George Washington Senior H.S. ," Cedar Rapids , Iowa ", 1986 Award | 7-12 Mathematics 
 Alice Olszewski , Cherry Hill High School West ," Cherry Hill , New Jersey ", 1986 Award | 7-12 Science 
 Marlys Otis , Central Junior High School ," White Bear Lake , Minnesota ", 1986 Award | 7-12 Mathematics 
 James Owens , Albuquerque High School ," Albuquerque , New Mexico ", 1986 Award | 7-12 Mathematics 
 Robert Packard , Ketchikan High School ," Ketchikan , Alaska ", 1986 Award | 7-12 Mathematics 
 Joyce Patton , Caddo Parish Middle Magnet ," Shreveport , Louisiana ", 1986 Award | 7-12 Science 
 Thomas Peterson , Oldham County High School ," Buckner , Kentucky ", 1986 Award | 7-12 Science 
 Susan Plati , Wellesley Senior High School ," Wellesley Hills , Massachusetts ", 1986 Award | 7-12 Science 
 John Pluta , Mill River Union High School ," North Clarendon , Vermont ", 1986 Award | 7-12 Mathematics 
 Gilberto Quintana , Robinson School ," Santurce , Puerto Rico ", 1986 Award | 7-12 Mathematics 
" George Radcliffe, Jr. ", Mace&apos;s Lane Middle School ," Cambridge , Maryland ", 1986 Award | 7-12 Science 
 Vijayalakshmi Ramakrishnan , Rapid City Central High School ," Rapid City , South Dakota ", 1986 Award | 7-12 Science 
 Margaret Raub Hunt , Strongsville High School ," Strongsville , Ohio ", 1986 Award | 7-12 Mathematics 
 Spencer Reames , Benjamin Logan High School ," Bellefontaine , Ohio ", 1986 Award | 7-12 Science 
 Daniel Record , Portland High School ," Portland , Connecticut ", 1986 Award | 7-12 Science 
 JoAnne Reid , Weir Attendance Center ," Weir , Mississippi ", 1986 Award | 7-12 Science 
 Esilda Reyes-Alvarado , Blanca Malaret High School ," Sabana Grande , Puerto Rico ", 1986 Award | 7-12 Science 
 Shirley Ringo , Moscow High School ," Moscow , Idaho ", 1986 Award | 7-12 Mathematics 
 Patsy Roller , Clyde Boyd Junior High School ," Sand Springs , Oklahoma ", 1986 Award | 7-12 Science 
 Jorge Sanchez , K. O. Knudson Junior High School ," Las Vegas , Nevada ", 1986 Award | 7-12 Science 
 Greg Schell , Ks. State Dept. of Ed. ," Topeka , Kansas ", 1986 Award | 7-12 Science 
 Ronald Schnackenberg , Steamboat Springs High School ," Steamboat Springs , Colorado ", 1986 Award | 7-12 Mathematics 
 Stephen Seymour , Gackle Public School ," Gackle , North Dakota ", 1986 Award | 7-12 Science 
 Kenneth Sherrick , Berlin High School ," Berlin , Connecticut ", 1986 Award | 7-12 Mathematics 
 Murray Siegel , Walton High School ," Marrietta , Georgia ", 1986 Award | 7-12 Mathematics 
 Evelyn Sisco , Pineville High School ," Pineville , Louisiana ", 1986 Award | 7-12 Mathematics 
 Debbie Smieja , DeLong Junior High School ," Eau Claire , Wisconsin ", 1986 Award | 7-12 Mathematics 
 Sanderson Smith , Cate School ," Carpinteria , California ", 1986 Award | 7-12 Mathematics 
 Joseph Stanislaus , Samoana High School ," Pago Pago , American Samoa ", 1986 Award | 7-12 Science 
 Dennis Travis , Bloomfield Hills Lahser H.S. ," Bloomfield Hills , Michigan ", 1986 Award | 7-12 Science 
 Ted Tsumura , Overland High School ," Aurora , Colorado ", 1986 Award | 7-12 Science 
 David Tucker , Mt. Baker Jr.-Sr. High School ," Deming , Washington ", 1986 Award | 7-12 Science 
" Dana Van Burgh, Jr. ", Dean Morgan Junior High School ," Casper , Wyoming ", 1986 Award | 7-12 Science 
 Warren Van Camp , Bethel Regional High School ," Bethel , Alaska ", 1986 Award | 7-12 Science 
 Joan Vas , Matawan Regional High School ," Aberdeen , New Jersey ", 1986 Award | 7-12 Mathematics 
 Louis Ventura , Bishop Hendricken High School ," Warwick , Rhode Island ", 1986 Award | 7-12 Science 
 John Waterman , Central High School ," Omaha , Nebraska ", 1986 Award | 7-12 Mathematics 
 Malcom Wells , Marcos de Niza High School ," Tempe , Arizona ", 1986 Award | 7-12 Science 
 Harold M. Weymouth , Portsmouth Middle School ," Portsmouth , Rhode Island ", 1986 Award | 7-12 Mathematics 
 P. Whitsett , LaCrosse Central High School ," LaCrosse , Wisconsin ", 1986 Award | 7-12 Science 
 Sharon Whitt , Anne Arundel City Learning ," Annapolis , Maryland ", 1986 Award | 7-12 Mathematics 
 Barbara Whittier , Wakefield High School ," Arlington , Virginia ", 1986 Award | 7-12 Science 
 Frederick Wright , Lakeside School ," Seattle , Washington ", 1986 Award | 7-12 Mathematics 
 Lawrence Zimmerman , Brooklyn Technical High School ," Brooklyn , New York ", 1986 Award | 7-12 Mathematics 
,,,
 Federico Acaron , John F. Kennedy ," Santa Isabel , Puerto Rico ", 1984 Award | 7-12 Science 
 Judy Adams , Laramie Junior High School ," Laramie , Wyoming ", 1984 Award | 7-12 Mathematics 
 Dorothea Allen , Boonton High School ," Boonton , New Jersey ", 1984 Award | 7-12 Science 
 David Archer , El Paso Independent School District ," Roswell , New Mexico ", 1984 Award | 7-12 Mathematics 
 Otis Autry , Booker T. Washington H.S. ," Tulsa , Oklahoma ", 1984 Award | 7-12 Science 
 Sherry Baca , Prescott High School ," Prescott , Arizona ", 1984 Award | 7-12 Mathematics 
 Martin Badoian , Canton High School ," Canton , Massachusetts ", 1984 Award | 7-12 Mathematics 
 Barbara Bass , St Catherines School ," Richmond , Virginia ", 1984 Award | 7-12 Mathematics 
 Leslie Bettencourt , Lincoln Senior High School ," Lincoln , Rhode Island ", 1984 Award | 7-12 Science 
 Kenneth Bingman , Shawnee Mission West H.S. ," Shawnee Mission , Kansas ", 1984 Award | 7-12 Science 
 Joel Block , Brien McMahon High School ," Norwalk , Connecticut ", 1984 Award | 7-12 Science 
 Thomas Bross , Moravian Academy ," Bethlehem , Pennsylvania ", 1984 Award | 7-12 Science 
 Elizabeth Carvellas , Colchester High School ," Colchester , Vermont ", 1984 Award | 7-12 Science 
 Ronald Cisar , Lewis and Clark Junior H.S. ," Omaha , Nebraska ", 1984 Award | 7-12 Science 
 Christine J. Comins , Pueblo County High School ," Pueblo , Colorado ", 1984 Award | 7-12 Mathematics 
 Cathy Cook , Margaret Mead Junior H.S. ," Elk Grove , Illinois ", 1984 Award | 7-12 Mathematics 
 Timothy Vail Craine , Renaissance High School ," Detroit , Michigan ", 1984 Award | 7-12 Mathematics 
" Rudd Adams Crawford, Jr. ", Oberlin High School ," Oberlin , Ohio ", 1984 Award | 7-12 Mathematics 
 Jim Cusker , Sentinel High School ," Missoula , Montana ", 1984 Award | 7-12 Science 
 LeRoy Dalton , Wauwatosa West High School ," Wauwatosa , Wisconsin ", 1984 Award | 7-12 Mathematics 
 Lucille Daniel , Rutherfordton-Spindale ," Rutherfordton , North Carolina ", 1984 Award | 7-12 Science 
 Daniel Danielsen , The Blake Schools ," Minneapolis , Minnesota ", 1984 Award | 7-12 Science 
 John De Meo , Coginchaug Regional H.S. ," Durham , Connecticut ", 1984 Award | 7-12 Mathematics 
 Harry Dillner , Christiana High School ," Newark , Delaware ", 1984 Award | 7-12 Science 
 Jack Dombrosky , Clover Park High School ," Tacoma , Washington ", 1984 Award | 7-12 Science 
 Karen A. Dotseth , Cedar Falls High School ," Cedar Falls , Iowa ", 1984 Award | 7-12 Mathematics 
 David Drennan , Norman High School ," Norman , Oklahoma ", 1984 Award | 7-12 Mathematics 
" Richard Duncan, Jr. ", Beaverton High School ," Beaverton , Oregon ", 1984 Award | 7-12 Science 
 Marita Eng , Sandalwood Jr.-Sr. High School ," Jacksonville , Florida ", 1984 Award | 7-12 Mathematics 
 Lyle Fisher , Redwood High School ," Larkspur , California ", 1984 Award | 7-12 Mathematics 
 Sue Himelick Fisher , South Kingstown High School ," Wakefield , Rhode Island ", 1984 Award | 7-12 Mathematics 
 Alvin A. Gloor , Westside High School ," Omaha , Nebraska ", 1984 Award | 7-12 Mathematics 
 David Louis Darragh Green , Charles Edward Jordan High ," Durham , North Carolina ", 1984 Award | 7-12 Mathematics 
 Alfred Guenther ," &quot;Stephen M. White, Jr. H.S.&quot; "," Carson , California ", 1984 Award | 7-12 Science 
 Marilyn Hanson , James Madison Memorial H.S. ," Madison , Wisconsin ", 1984 Award | 7-12 Science 
 Richard Hanson , Burnsville Senior High School ," Burnsville , Minnesota ", 1984 Award | 7-12 Mathematics 
